INPUT:id	INPUT:phrase	INPUT:sentence	INPUT:sense
125	concerned	In this respect, it would be helpful if our political leaders were mute, rather than eloquently`` concerned.``	something that interests you because it is important or affects you,an anxious feeling,a feeling of sympathy for someone or something,something or someone that causes anxiety; a source of unhappiness,a commercial or industrial enterprise and the people who constitute it,be relevant to,be on the mind of
126	needs	Thus at the recent governors' conference on education, Gov. Bill Clinton of Arkansas announced that`` this country needs a comprehensive child-development policy for children under five.``	a condition requiring relief,anything that is necessary but lacking,the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior,a state of extreme poverty or destitution,require as useful\, just\, or proper,have need of,have or feel a need for
127	system	What Gov. Clinton is advocating, in effect, is extending the educational system down to the pre-kindergarten years.	instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity,a group of independent but interrelated elements comprising a unified whole,(physical chemistry) a sample of matter in which substances in different phases are in equilibrium,a complex of methods or rules governing behavior,an organized structure for arranging or classifying,a group of physiologically or anatomically related organs or parts,a procedure or process for obtaining an objective,the living body considered as made up of interdependent components forming a unified whole,an ordered manner; orderliness by virtue of being methodical and well organized
128	schooling	We know that very early exposure to schooling improves performance in the first grade, but afterward the difference is quickly washed away.	the act of teaching at school,the process of being formally educated at a school,the training of an animal (especially the training of a horse for dressage),educate in or as if in a school,teach or refine to be discriminative in taste or judgment,swim in or form a large group of fish
129	blame	Parents are too likely to blame schools for the educational limitations of their children.	an accusation that you are responsible for some lapse or misdeed,a reproach for some lapse or misdeed,put or pin the blame on,harass with constant criticism,attribute responsibility to,expletives used informally as intensifiers
130	children	Parents should be involved with their children 's education at home, not in school.	a young person of either sex,a human offspring (son or daughter) of any age,an immature childish person,a member of a clan or tribe
131	option	If parents are dissatisfied with a school, they should have the option of switching to another.	the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited,one of a number of things from which only one can be chosen,the act of choosing or selecting
132	involvement	--`` Community involvement`` is an even worse idea.	the act of sharing in the activities of a group,a connection of inclusion or containment,a sense of concern with and curiosity about someone or something,a usually secretive or illicit sexual relationship,the condition of sharing in common with others (as fellows or partners etc.)
133	experience	Here, the experience of New York City is decisive.	the accumulation of knowledge or skill that results from direct participation in events or activities,the content of direct observation or participation in an event,an event as apprehended,go or live through,have firsthand knowledge of states\, situations\, emotions\, or sensations,go through (mental or physical states or experiences),undergo an emotional sensation or be in a particular state of mind,undergo
134	larger	Locally elected school boards, especially in our larger cities, become the prey of ambitious, generally corrupt, and invariably demagogic local politicians or would-be politicians.	large or big relative to something else,above average in size or number or quantity or magnitude or extent,fairly large or important in effect; influential,ostentatiously lofty in style,generous and understanding and tolerant,conspicuous in position or importance,having broad power and range and scope,in an advanced stage of pregnancy
135	tell	Decades of educational research tell us unequivocally that even smaller classes have zero effect on the academic performance of the pupils-- though they may sometimes be desirable for other reasons.	a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap),express in words,let something be known,narrate or give a detailed account of,give instructions to or direct somebody to do something with authority,discern or comprehend,inform positively and with certainty and confidence,give evidence,mark as different
136	more	The new money flows into the already top-heavy administrative structure, which busies itself piling more and more paper work on the teachers.	English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia\, the ideal state,(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree,(comparative of `many' used with count nouns) quantifier meaning greater in number,used to form the comparative of some adjectives and adverbs,comparative of much; to a greater degree or extent
137	sharply	There is neither mystery nor paradox in the fact that as educational expenditures( in real terms) have increased sharply in the past quarter-of-a-century-- we now spend more per pupil than any other country in the world-- educational performance has declined.	in an aggressive manner,in a well delineated manner,changing suddenly in direction and degree,very suddenly and to a great degree
138	allows	-- Students should move up the educational ladder as their academic potential allows.	make it possible through a specific action or lack of action for something to happen,consent to\, give permission,let have,give or assign a resource to a particular person or cause,make a possibility or provide opportunity for; permit to be attainable or cause to remain,allow or plan for a certain possibility; concede the truth or validity of something,afford possibility,allow the other (baseball) team to score,grant as a discount or in exchange,allow the presence of or allow (an activity) without opposing or prohibiting
139	prevailed	No student should be permitted to be graduated from elementary school without having mastered the 3 R 's at the level that prevailed 20 years ago.	be larger in number\, quantity\, power\, status or importance,be valid\, applicable\, or true,continue to exist,prove superior,use persuasion successfully
140	permit	This means`` tracking,`` whose main purpose is less to permit the gifted youngsters to flourish( though that is clearly desirable) than to ensure that the less gifted get the necessary grounding for further study or for entering the modern world of work.	a legal document giving official permission to do something,the act of giving a formal (usually written) authorization,large game fish; found in waters of the West Indies,consent to\, give permission,make it possible through a specific action or lack of action for something to happen,allow the presence of or allow (an activity) without opposing or prohibiting
141	actually	No one in his right mind actually believes that we all have an equal academic potential.	in actual fact,used to imply that one would expect the fact to be the opposite of that stated; surprisingly,at the present moment,as a sentence modifier to add slight emphasis
142	desirable	-- It is generally desirable to use older textbooks-- many of them, alas, out of print-- rather than newer ones.	worth having or seeking or achieving,worthy of being chosen especially as a spouse
143	educational	They are based on dubious psychological and sociological theories rather than on educational experience.	relating to the process of education,providing knowledge
144	students	One of the reasons American students do so poorly in math tests, as compared with British, French, German or Japanese students, is the influence of the`` New Math`` on American textbooks and teaching methods.	a learner who is enrolled in an educational institution,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
145	just	Anyone who wants to appreciate just how bizarre this situation is-- with students who ca not add or subtract`` learning`` the conceptual basis of mathematical theory-- should read the article by Caleb Nelson( himself a recent math major at Harvard) in the November American Spectator.	used especially of what is legally or ethically right or proper or fitting; - A.Lincoln,fair to all parties as dictated by reason and conscience,free from favoritism or self-interest or bias or deception; conforming with established standards or rules,of moral excellence,and nothing more,indicating exactness or preciseness,only a moment ago,absolutely,only a very short time before; ; ; ; ; - W.B.Yeats,exactly at this moment or the moment described
146	Most	-- Most important of all, schools should have principals with a large measure of authority over the faculty, the curriculum, and all matters of student discipline.	(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number,the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree,used to form the superlative,very,(of actions or states) slightly short of or not quite accomplished; all but
147	schools	Study after study-- the most recent from the Brookings Institution-- tells us that the best schools are those that are free of outside interference and are governed by a powerful head.	an educational institution,a building where young people receive education,the process of being formally educated at a school,a body of creative artists or writers or thinkers linked by a similar style or by similar teachers,the period of instruction in a school; the time period when school is in session,an educational institution's faculty and students,a large group of fish,educate in or as if in a school,teach or refine to be discriminative in taste or judgment,swim in or form a large group of fish
148	unambiguous	With that authority, of course, goes an unambiguous accountability.	having or exhibiting a single clearly defined meaning; - Mario Vargas Llosa,admitting of no doubt or misunderstanding; having only one meaning or interpretation and leading to only one conclusion
149	publishes	Mr. Kristol, an American Enterprise Institute fellow, co-edits The Public Interest and publishes The National Interest.	put into print,prepare and issue for public distribution or sale,have (one's written work) issued for publication
150	peered	Haney peered doubtfully at his drinking companion through bleary, tear-filled eyes.	a person who is of equal standing with another in a group,a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage,look searchingly
151	eyes	The guy is off his rocker, Haney thought to himself, and looked away from those eyes.	the organ of sight,good discernment (either visually or as if visually),attention to what is seen,an area that is approximately central within some larger region,a small hole or loop (as in a needle),look at
152	stranger	He wondered how he got tied up with this stranger.	anyone who does not belong in the environment in which they are found,an individual that one is not acquainted with,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,not known before,relating to or originating in or characteristic of another place or part of the world
153	remembered	But, of course, he remembered now.	recall knowledge from memory; have a recollection,keep in mind for attention or consideration,recapture the past; indulge in memories,show appreciation to,mention favorably\, as in prayer,mention as by way of greeting or to indicate friendship,exercise\, or have the power of\, memory,call to remembrance; keep alive the memory of someone or something\, as in a ceremony
154	occasion	It was blurred, after two hours of steady drinking, but the occasion of it came back to him.	an event that occurs at a critical time,a vaguely specified social event,reason,the time of a particular event,an opportunity to do something,give occasion to
155	cab	Actually, he regretted having opened his mouth when the truck came to a stop and the angry driver jumped down from the cab and walked back toward them.	a compartment at the front of a motor vehicle or locomotive where driver sits,small two-wheeled horse-drawn carriage; with two seats and a folding hood,a car driven by a person whose job is to take passengers where they want to go in exchange for money,ride in a taxicab
156	driver	Very suddenly, the driver stopped swearing at them, turned on his heel and went back to his truck.	the operator of a motor vehicle,someone who drives animals that pull a vehicle,a golfer who hits the golf ball with a driver,(computer science) a program that determines how a computer will communicate with a peripheral device,a golf club (a wood) with a near vertical face that is used for hitting long shots from the tee
157	wondered	Now he recalled it very clearly, and wondered what the truck driver had seen in those eyes to make him back off.	the feeling aroused by something strange and surprising,something that causes feelings of wonder,a state in which you want to learn more about something,have a wish or desire to know something,place in doubt or express doubtful speculation,be amazed at
158	nursing	Phil usually went alone and kept to himself, sitting in a corner and passing the time by nursing his favorite grudges.	one skilled in caring for young children or the sick (usually under the supervision of a physician),a woman who is the custodian of children,try to cure by special care of treatment\, of an illness or injury,maintain (a theory\, thoughts\, or feelings),serve as a nurse; care for sick or handicapped people,treat carefully,give suck to
159	decided	But he decided he would n't mind company in return for free drinks, even though he made good money at his job.	reach\, make\, or come to a decision about something,bring to an end; settle conclusively,cause to decide,influence or determine
160	wondered	Now he wondered if it was worth it, having a screwball for company.	the feeling aroused by something strange and surprising,something that causes feelings of wonder,a state in which you want to learn more about something,have a wish or desire to know something,place in doubt or express doubtful speculation,be amazed at
161	uneasy	He really did n't take the offer seriously, but he began to feel uneasy.	lacking a sense of security or affording no ease or reassurance,lacking or not affording physical or mental rest,causing or fraught with or showing anxiety,socially uncomfortable; unsure and constrained in manner,relating to bodily unease that causes discomfort
162	realized	When he finally got the coughing under control, he realized that Pete-LRB- all he gave was his first name-RRB- was still waiting for an answer-- he did n't even seem to wink as he continued to stare.	be fully aware or cognizant of,perceive (an idea or situation) mentally,make real or concrete; give reality or substance to,earn on some commercial or business transaction; earn as salary or wages,convert into cash; of goods and property,expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass
163	think	`` Guess I ca n't think of anyone, Pete.	keep in mind for attention or consideration,take into consideration\, have in view,look on as or consider,intend to refer to,devise or invent,choose in one's mind
164	Thanks	Thanks anyhow``	an acknowledgment of appreciation,with the help of or owing to,express gratitude or show appreciation to
165	kind	And everybody has some kind of grudge.	a category of things distinguished by some common characteristic or quality,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior,agreeable\, conducive to comfort,tolerant and forgiving under provocation
166	cost	It wo n't cost you a cent, Phil.	the total spent for goods or services including money and time and labor,the property of having material worth (often indicated by the amount of money something would bring if sold),value measured by what must be given or done or undergone to obtain something,be priced at,require to lose\, suffer\, or sacrifice
167	rubbed	Phil rubbed his forehead wearily.	an unforeseen obstacle,the act of rubbing or wiping,move over something with pressure,cause friction,scrape or rub as if to relieve itching
168	humor	Maybe it would be better to humor the guy and then make an exit.	a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter,the trait of appreciating (and being able to express) the humorous,a characteristic (habitual or relatively temporary) state of feeling,the quality of being funny,(Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state,the liquid parts of the body,put into a good mood
169	radio	He keeps riding me because I like to listen to the radio and sing while I 'm taking a bath.	medium for communication,an electronic receiver that detects and demodulates and amplifies transmitted signals,a communication system based on broadcasting electromagnetic waves,transmit messages via radio waves,indicating radiation or radioactivity
170	neighbors	He says the neighbors complain, but I do n't believe it.	a person who lives (or is located) near another,a nearby object of the same kind,live or be located as a neighbor,be located near or adjacent to
171	bothers	Why do n't they tell me themselves if it bothers them``?	an angry disturbance,something or someone that causes trouble; a source of unhappiness,take the trouble to do something; concern oneself,cause annoyance in; disturb\, especially by minor irritations,to cause inconvenience or discomfort to,intrude or enter uninvited,make nervous or agitated,make confused or perplexed or puzzled
172	nodded	The man closed his eyes and nodded.	a sign of assent or salutation or command,the act of nodding the head,express or signify by nodding,lower and raise the head\, as to indicate assent or agreement or confirmation,let the head fall forward through drowsiness,sway gently back and forth\, as in a nodding motion,be almost asleep
173	contented	When he looked up again, he seemed almost contented.	everything that is included in a collection and that is held or included in something,what a communication that is about something is about,the proportion of a substance that is contained in a mixture or alloy etc.,the amount that can be contained,the sum or range of what has been perceived\, discovered\, or learned,the state of being contented with your situation in life,something (a person or object or scene) selected by an artist or photographer for graphic representation,satisfy in a limited way,make content,satisfied or showing satisfaction with things as they are
174	Fine	`` Fine.	money extracted as a penalty,issue a ticket or a fine to as a penalty,being satisfactory or in satisfactory condition,minutely precise especially in differences in meaning,thin in thickness or diameter,characterized by elegance or refinement or accomplishment,of textures that are smooth to the touch or substances consisting of relatively small particles,free from impurities; having a high or specified degree of purity,an expression of agreement normally occurring at the beginning of a sentence,in a delicate manner
175	habits	I want to study your landlord 's habits and movements first.	an established custom,(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition,a distinctive attire worn by a member of a religious order,the general form or mode of growth (especially of a plant or crystal),attire that is typically worn by a horseback rider (especially a woman's attire),excessive use of drugs,put a habit on
176	suicide	Maybe suicide, if it looks reasonable.	the act of killing yourself,a person who kills himself intentionally
177	smiled	Pete smiled modestly.	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement,change one's facial expression by spreading the lips\, often to signal pleasure,express with a smile
178	nodded	Five minutes later, before Haney could make his break, the stranger stood up and nodded farewell.	a sign of assent or salutation or command,the act of nodding the head,express or signify by nodding,lower and raise the head\, as to indicate assent or agreement or confirmation,let the head fall forward through drowsiness,sway gently back and forth\, as in a nodding motion,be almost asleep
179	seemed	Haney watched the small but wiry man slip out the door quickly and silently, and felt relieved to see that nobody else seemed to notice his departure.	give a certain impression or have a certain outward aspect,seem to be true\, probable\, or apparent,appear to exist,appear to one's own mind or opinion
180	seemed	Phil decided to stay a little longer, and as time passed it seemed as if the strange little man had never been there, but for the other glass on the table.	give a certain impression or have a certain outward aspect,seem to be true\, probable\, or apparent,appear to exist,appear to one's own mind or opinion
181	day	The next day, Sunday, the hangover reminded Haney where he had been the night before.	time for Earth to make a complete rotation on its axis,some point or period in time,a day assigned to a particular purpose or observance,the time after sunrise and before sunset while it is light outside,the recurring hours when you are not sleeping (especially those when you are working),an era of existence or influence,the period of time taken by a particular planet (e.g. Mars) to make a complete rotation on its axis,the time for one complete rotation of the earth relative to a particular star\, about 4 minutes shorter than a mean solar day,a period of opportunity,United States writer best known for his autobiographical works (1874-1935)
182	shrugged	Phil shrugged and ignored him.	a gesture involving the shoulders,raise one's shoulders to indicate indifference or resignation
183	alive	By Wednesday the landlord was still alive.	possessing life,(often followed by `with') full of life and spirit,having life or vigor or spirit,(followed by `to' or `of') aware of,in operation,mentally perceptive and responsive,capable of erupting
184	fellow	His spine crawled with a foreboding premonition as he asked one of his fellow tenants what had happened.	a boy or man,a friend who is frequently in the company of another,a person who is member of one's class or profession,one of a pair,a member of a learned society,an informal form of address for a man,a man who is the lover of a girl or young woman
185	witnessed	Nobody witnessed the fall-- just the sickening impact when his body smashed on the pavement just outside the basement delivery entrance.	someone who sees an event and reports what happened,a close observer; someone who looks at something (such as an exhibition of some kind),testimony by word or deed to your religious faith,(law) a person who attests to the genuineness of a document or signature by adding their own signature,(law) a person who testifies under oath in a court of law,be a witness to,perceive or be contemporaneous with
186	hoped	Haney hoped that nobody noticed his sudden pallor, as he felt the blood drain from his cheeks.	a specific instance of feeling hopeful,the general feeling that some desire will be fulfilled,grounds for feeling hopeful about the future,someone (or something) on which expectations are centered,United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003),one of the three Christian virtues,expect and wish,be optimistic; be full of hope; have hopes,intend with some possibility of fulfilment
187	terrible	He muttered something about how terrible it was, and walked with deliberate slowness to the elevator.	causing fear or dread or terror,exceptionally bad or displeasing,intensely or extremely bad or unpleasant in degree or quality,extreme in degree or extent or amount or impact
188	flopped	Once inside his apartment, he poured a drink with trembling hands and flopped limply in a chair.	an arithmetic operation performed on floating-point numbers,someone who is unsuccessful,a complete failure,the act of throwing yourself down,fall loosely,fall suddenly and abruptly,fail utterly; collapse,with a flopping sound,exactly
189	accident	Still later, he finally convinced himself that it was an accident-- just a coincidence.	an unfortunate mishap; especially one causing damage or injury,anything that happens suddenly or by chance without an apparent cause
190	lousy	Haney went to bed, happy that at least he was rid of that lousy landlord.	very bad,infested with lice,vile; despicable
191	sad	The stranger 's eyes were large and sad, as if Phil Haney had hurt his feelings.	experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,of things that make you feel sad; ; ; ; - Christina Rossetti,bad; unfortunate
192	overtones	It was like a recurrent, annoying dream, but now the dream was beginning to take on overtones of a nightmare.	(usually plural) an ulterior implicit meaning or quality,a harmonic with a frequency that is a multiple of the fundamental frequency
193	dream	However, Haney knew it was not a dream.	a series of mental images and emotions occurring during sleep,imaginative thoughts indulged in while awake,a cherished desire,a fantastic but vain hope (from fantasies induced by the opium pipe),a state of mind characterized by abstraction and release from reality,someone or something wonderful,have a daydream; indulge in a fantasy,experience while sleeping
194	pet	He was enjoying the weekly ritual of washing down his pet grievance with bourbon slightly moistened with water.	a domesticated animal kept for companionship or amusement,a special loved one,a fit of petulance or sulkiness (especially at what is felt to be a slight),using a computerized radiographic technique to examine the metabolic activity in various tissues (especially in the brain),stroke or caress gently,stroke or caress in an erotic manner\, as during lovemaking,preferred above all others and treated with partiality
195	forgotten	He had already quite forgotten about him.	dismiss from the mind; stop remembering,be unable to remember,forget to do something,leave behind unintentionally
196	mentioned	In fact, he had only mentioned him on the spur of the moment.	a remark that calls attention to something or someone,a short note recognizing a source of information or of a quoted passage,an official recognition of merit,make reference to,make mention of,commend
197	grievance	His real grievance was Lolly.	a resentment strong enough to justify retaliation,an allegation that something imposes an illegal obligation or denies some legal right or causes injustice,a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action
198	aware	Toward the end of his fourth hairy highball, while he was moodily making wet rings on the table-top with the bottom of the glass, he became aware that he was not alone.	(sometimes followed by `of') having or showing knowledge or understanding or realization or perception,bearing in mind; attentive to
199	smiling	He looked up with bloodshot eyes and beheld the stranger sitting across the table, smiling a secret smile at him, as if they were fellow conspirators.	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement,change one's facial expression by spreading the lips\, often to signal pleasure,express with a smile
200	other	He began to wish that he had n't shouted that other evening when the truck bore down through the crossing.	not the same one or ones already mentioned or implied; - the White Queen,recently past,belonging to the distant past,very unusual; different in character or quality from the normal or expected; - Lance Morrow
201	other	He 'd have to start going to some of the other places again.	not the same one or ones already mentioned or implied; - the White Queen,recently past,belonging to the distant past,very unusual; different in character or quality from the normal or expected; - Lance Morrow
202	offhand	He made the mistake of answering in an offhand way, and instantly realized that his skepticism must have showed in his face or voice.	with little or no preparation or forethought,casually thoughtless or inconsiderate,without previous thought or preparation,in a casually inconsiderate manner
203	frowned	Pete frowned slightly, then became sad and moody.	a facial expression of dislike or displeasure,look angry or sullen\, wrinkle one's forehead\, as if to signal disapproval
204	guy	The guy sulked over his drink, obviously upset by Haney 's lack of appreciation.	an informal term for a youth or man,an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day,a cable\, wire\, or rope that is used to brace something (especially a tent),subject to laughter or ridicule,steady or support with a guy wire or cable
205	uncomfortable	To break the uncomfortable silence, Haney began to talk.	conducive to or feeling mental discomfort,providing or experiencing physical discomfort
206	stranger	When he paused to moisten his throat, the stranger broke in.	anyone who does not belong in the environment in which they are found,an individual that one is not acquainted with,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,not known before,relating to or originating in or characteristic of another place or part of the world
207	scowled	Haney scowled.	a facial expression of dislike or displeasure,frown with displeasure
208	love	`` That bitch would love a divorce``, he growled.	a strong positive emotion of regard and affection,any object of warm affection or devotion,a beloved person; used as terms of endearment,a deep feeling of sexual desire and attraction,a score of zero in tennis or squash,sexual activities (often including sexual intercourse) between two people,have a great affection or liking for,get pleasure from,be enamored or in love with,have sexual intercourse with
209	half	`` Then she 'd get half of everything I have.	one of two equal parts of a divisible whole,one of two divisions into which some games or performances are divided: the two divisions are separated by an interval,consisting of one of two equivalent parts in value or quantity,partial,(of siblings) related through one parent only,partially or to the extent of a half
210	pay	I 'd have to sell out my business to pay her off with her share.	yield a profit or result,eliminate by paying off (debts),pay off (loans or promissory notes),do or give something to somebody in return,pay someone with influence in order to receive a favor,take vengeance on or get even
211	nodded	Pete nodded understandingly.	a sign of assent or salutation or command,the act of nodding the head,express or signify by nodding,lower and raise the head\, as to indicate assent or agreement or confirmation,let the head fall forward through drowsiness,sway gently back and forth\, as in a nodding motion,be almost asleep
212	told	You should have told me about her before``.	a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap),express in words,let something be known,narrate or give a detailed account of,give instructions to or direct somebody to do something with authority,discern or comprehend,inform positively and with certainty and confidence,give evidence,mark as different
213	familiar	Haney felt a twinge of annoyance when he heard the now familiar line again.	a person attached to the household of a high official (as a pope or bishop) who renders service in return for support,a friend who is frequently in the company of another,a spirit (usually in animal form) that acts as an assistant to a witch or wizard,well known or easily recognized,within normal everyday experience; common and ordinary; not strange,(usually followed by `with') well informed about or knowing thoroughly,having mutual interests or affections; of established friendship
214	suppose	Suppose-- just suppose this guy was really what he said he was T!!	express a supposition,expect\, believe\, or suppose,to believe especially on uncertain or tentative grounds,take for granted or as a given; suppose beforehand,require as a necessary antecedent or precondition
215	killer	A retired professional killer	someone who causes the death of a person or animal,the causal agent resulting in death,a difficulty that is hard to deal with,predatory black-and-white toothed whale with large dorsal fin; common in cold seas
216	harm	If he was just a nut, no harm was done.	any physical damage to the body caused by violence or accident or fracture etc.,the occurrence of a change for the worse,the act of damaging something or someone,cause or do harm to
217	intended	`` No offense intended``, he said gently.	have in mind as a purpose,design or destine,mean or intend to express or convey,denote or connote
218	accident	It could have been an accident``.	an unfortunate mishap; especially one causing damage or injury,anything that happens suddenly or by chance without an apparent cause
219	shrugged	He shrugged casually.	a gesture involving the shoulders,raise one's shoulders to indicate indifference or resignation
220	managed	`` But if you say you managed it``	be successful; achieve a goal,be in charge of\, act on\, or dispose of,come to terms with,watch and direct,achieve something by means of trickery or devious methods,carry on or function,handle effectively
221	stranger	The stranger was hooked.	anyone who does not belong in the environment in which they are found,an individual that one is not acquainted with,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,not known before,relating to or originating in or characteristic of another place or part of the world
222	eyes	His eyes burned feverishly.	the organ of sight,good discernment (either visually or as if visually),attention to what is seen,an area that is approximately central within some larger region,a small hole or loop (as in a needle),look at
223	muttered	`` Yes, yes``, he muttered impatiently.	a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech,a complaint uttered in a low and indistinct tone,talk indistinctly; usually in a low voice,make complaining remarks or noises under one's breath
224	Let	Let me prove it, Phil.	a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India,a serve that strikes the net before falling into the receiver's court; the ball must be served again,make it possible through a specific action or lack of action for something to happen,actively cause something to happen,consent to\, give permission,cause to move; cause to be in a certain position or condition,leave unchanged,grant use or occupation of under a term of contract
225	manage	I think I can manage one more favor for you``.	be successful; achieve a goal,be in charge of\, act on\, or dispose of,come to terms with,watch and direct,achieve something by means of trickery or devious methods,carry on or function,handle effectively
226	waited	He waited eagerly.	time during which some action is awaited,the act of waiting (remaining inactive in one place while expecting something),stay in one place and anticipate or expect something,wait before acting,look forward to the probable occurrence of,serve as a waiter or waitress in a restaurant
227	Democratic	Tuesday 's rout of a GOP congressional hopeful in a Mississippi district that has n't backed a Democratic presidential candidate since Adlai Stevenson is another reminder that, at least at the federal level, political`` ticket splitting`` has been on the rise over the past half century.	characterized by or advocating or based upon the principles of democracy or social equality; ; ; - George du Maurier,belong to or relating to the Democratic Party,representing or appealing to or adapted for the benefit of the people at large
228	nation	In only one presidential election year prior to 1948 did more than 20 % of the nation 's congressional districts choose a different party 's candidate for the White House than for the House of Representatives.	a politically organized body of people under a single government,the people who live in a nation or country,United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911),a federation of tribes (especially Native American tribes)
229	percentage	Now that percentage routinely equals a third and twice has been above 40 %.	a proportion in relation to a whole (which is usually the amount per hundred),assets belonging to or due to or contributed by an individual person or group
230	tend	As we know, voters tend to favor Republicans more in races for president than in those for Congress.	have a tendency or disposition to do or be something; be inclined,have care of or look after,manage or run
231	president	In every presidential election over the past half century, except for the Goldwater presidential candidacy, the GOP has captured a greater percentage of the major- party popular vote for president than it has of congressional seats or the popular vote for Congress.	an executive officer of a firm or corporation,the person who holds the office of head of state of the United States government,the chief executive of a republic,the officer who presides at the meetings of an organization,the head administrative officer of a college or university,the office of the United States head of state
232	pattern	Prior to 1932, the pattern was nearly the opposite.	a perceptual structure,a customary way of operation or behavior,a decorative or artistic work,something regarded as a normative example,a model considered worthy of imitation,something intended as a guide for making something else,the path that is prescribed for an airplane that is preparing to land at an airport,graphical representation (in polar or Cartesian coordinates) of the spatial distribution of radiation from an antenna as a function of angle,plan or create according to a model or models,form a pattern
233	decades	What accounts for the results of recent decades?	a period of 10 years,the cardinal number that is the sum of nine and one; the base of the decimal system
234	explanation	A simple economic theory may provide at least a partial explanation for the split personality displayed by Americans in the voting booth.	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.,thought that makes something comprehensible,the act of explaining; making something plain or intelligible
235	theory	The theory relies on three assumptions:	a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena,a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena,a belief that can guide behavior
236	attendant	1-RRB- Voters can`` buy`` one of two brands when they select their political agents-- a Republican brand that believes in the minimalist state and in the virtues of private markets over the vices of public action, and a Democratic brand that believes in big government and in public intervention to remedy the excesses attendant to the pursuit of private interest.	someone who waits on or tends to or attends to the needs of another,a person who is present and participates in a meeting,an event or situation that happens at the same time as or in connection with another,being present (at meeting or event etc.),following or accompanying as a consequence
237	local	2-RRB- Congressional representatives have two basic responsibilities while voting in office-- dealing with national issues-LRB- programmatic actions such as casting roll call votes on legislation that imposes costs and/or confers benefits on the population at large-RRB- and attending to local issues-LRB- constituency service and pork barrel-RRB-.	public transport consisting of a bus or train that stops at all stations or stops,anesthetic that numbs a particular area of the body,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area,of or belonging to or characteristic of a particular locality or neighborhood,affecting only a restricted part or area of the body
238	minimalist	3-RRB- Republican congressional representatives, because of their belief in a minimalist state, are less willing to engage in local benefit-seeking than are Democratic members of Congress.	a conservative who advocates only minor reforms in government or politics,a practitioner or advocate of artistic minimalism,of or relating to artistic minimalism,advocating minimal reforms (as in government or politics)
239	economic	If these assumptions hold, voters in races for Congress face what in economic theory is called a prisoner 's dilemma and have an incentive, at the margin, to lean Democratic.	of or relating to an economy\, the system of production and management of material wealth,of or relating to the science of economics,using the minimum of time or resources necessary for effectiveness,concerned with worldly necessities of life (especially money),financially rewarding
240	incentive	In races for the White House, a voter 's incentive, at the margin, is to lean Republican.	a positive motivational influence,an additional payment (or other remuneration) to employees as a means of increasing output
241	president	Although a GOP president may limit local benefits to the voter 's particular district/state, such a president is also likely to be more effective at preventing other districts/states and their legislators from bringing home the local benefits.	an executive officer of a firm or corporation,the person who holds the office of head of state of the United States government,the chief executive of a republic,the officer who presides at the meetings of an organization,the head administrative officer of a college or university,the office of the United States head of state
242	individual	The individual voter 's standing consequently will be enhanced through lower taxes.	a human being,a single organism,being or characteristic of a single thing or person,separate and distinct from others of the same kind,characteristic of or meant for a single person or thing,concerning one person exclusively
