INPUT:id	INPUT:sense	INPUT:phrase	INPUT:sentence	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:started	ASSIGNMENT:submitted
452	"""the entering of a legal document into the public record"",""a fragment rubbed off by the use of a file"",""the act of using a file (as in shaping or smoothing an object)"",""preservation and methodical arrangement as of documents and papers etc."",""record in a public office or in a court of law"",""smooth with a file"",""proceed in line"",""file a formal charge against"",""place in a container for keeping records"""	filing	In their filing, they referred to the Supreme Court 's 1966 decision overturning Dr. Sheppard 's conviction because of the trial coverage and made it clear they would claim that the new media required new rules.	"""the entering of a legal document into the public record"""				2022-06-08T13:05:06.298	2022-06-08T13:11:32.446
361	"""have an existence\, be extant"",""support oneself"""	exist	How many government programs and policies exist because they line the pockets of political insiders?	"""have an existence, be extant"""				2022-06-08T13:05:06.298	2022-06-08T13:11:32.446
252	"""a member of the Republican Party"",""an advocate of a republic (usually in opposition to a monarchy)"",""a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas"",""relating to or belonging to the Republican Party"",""having the supreme power lying in the body of citizens entitled to vote for officers and representatives responsible to them or characteristic of such government; - United States Constitution; ; - Philip Marsh; -Nathaniel Hawthorne"""	Republicans	Finally, the theory suggests why Republicans generally have fared better in Senate races than in campaigns for the House.	"""relating to or belonging to the Republican Party"""				2022-06-08T13:05:06.298	2022-06-08T13:11:32.446
562	"""the state of being free from danger or injury"",""defense against financial failure; financial independence"",""freedom from anxiety or fear"",""a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"",""property that your creditor can claim in case you default on your obligation"",""a department responsible for the security of the institution's property and workers"",""a guarantee that an obligation will be met"",""an electrical device that sets off an alarm when someone tries to break in"",""measures taken as a precaution against theft or espionage or sabotage etc."""	securities	The value of the securities dropped dramatically during the financial crisis and brought down the credit unions.	"""a department responsible for the security of the institution's property and workers"""				2022-06-08T13:05:06.298	2022-06-08T13:11:32.446
419	"""one of the twelve divisions of the calendar year"",""a time unit of approximately 30 days"""	month	Moreover, the confidence of American consumers has clearly bounced back in December, to 73.4 against 67.4 the previous month, according to preliminary estimates from Michigan University 's index.	"""a time unit of approximately 30 days"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
640	"""unfair treatment of a person or group on the basis of prejudice"",""the cognitive process whereby two or more stimuli are distinguished"""	discrimination	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	"""the cognitive process whereby two or more stimuli are distinguished"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
559	"""money extracted as a penalty"",""issue a ticket or a fine to as a penalty"",""being satisfactory or in satisfactory condition"",""minutely precise especially in differences in meaning"",""thin in thickness or diameter"",""characterized by elegance or refinement or accomplishment"",""of textures that are smooth to the touch or substances consisting of relatively small particles"",""free from impurities; having a high or specified degree of purity"",""an expression of agreement normally occurring at the beginning of a sentence"",""in a delicate manner"""	fine	Fresh trouble is following hard on the heels of the uproar around Josef Ackermann, CEO of Deutsche Bank: Deutsche Bank faces a multi-million pound fine in the USA.	"""being satisfactory or in satisfactory condition"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
173	"""everything that is included in a collection and that is held or included in something"",""what a communication that is about something is about"",""the proportion of a substance that is contained in a mixture or alloy etc."",""the amount that can be contained"",""the sum or range of what has been perceived\, discovered\, or learned"",""the state of being contented with your situation in life"",""something (a person or object or scene) selected by an artist or photographer for graphic representation"",""satisfy in a limited way"",""make content"",""satisfied or showing satisfaction with things as they are"""	contented	When he looked up again, he seemed almost contented.	"""the state of being contented with your situation in life"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
590	"""of or pertaining to or of the nature of mathematics"",""relating to or having ability to think in or work with numbers"",""beyond question"",""statistically possible though highly improbable"",""characterized by the exactness or precision of mathematics"""	mathematical	kalgebra is a mathematical calculator based on content markup MathML language.	"""of or pertaining to or of the nature of mathematics"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
253	"""a vaguely specified concern"",""some situation or event that is thought about"",""that which has mass and occupies space"",""a problem"",""(used with negation) having consequence"",""written works (especially in books or magazines)"",""have weight; have import\, carry weight"""	matters	Since local benefit-seeking matters more and national policy making matters less in the lower chamber of Congress, this is precisely the pattern one would expect if Republicans are less willing to engage in local benefit-seeking than their Democratic counterparts.	"""a problem"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
447	"""the total amount and type of insurance carried"",""the extent to which something is covered"",""the news as presented by reporters for newspapers or radio or television"""	coverage	But their arguments about the effect of the intense coverage of the trial may draw the most interest.	"""the total amount and type of insurance carried"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
256	"""a member of the Republican Party"",""an advocate of a republic (usually in opposition to a monarchy)"",""a tributary of the Kansas River that flows from eastern Colorado eastward through Nebraska and Kansas"",""relating to or belonging to the Republican Party"",""having the supreme power lying in the body of citizens entitled to vote for officers and representatives responsible to them or characteristic of such government; - United States Constitution; ; - Philip Marsh; -Nathaniel Hawthorne"""	Republicans	Second, if the key assumption is valid, Democrats should have lower attendance rates on roll-call votes than Republicans do to the extent that such votes reflect national policy making and that participating in such votes takes away from the time a legislator could otherwise devote to local benefit-seeking.	"""relating to or belonging to the Republican Party"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
228	"""a politically organized body of people under a single government"",""the people who live in a nation or country"",""United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)"",""a federation of tribes (especially Native American tribes)"""	nation	In only one presidential election year prior to 1948 did more than 20 % of the nation 's congressional districts choose a different party 's candidate for the White House than for the House of Representatives.	"""the people who live in a nation or country"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
543	"""the act of invading; the act of an army that invades for conquest or plunder"",""any entry into an area not previously occupied"",""(pathology) the spread of pathogenic microorganisms or malignant cells to new sites in the body"""	invasion	In 2005, the fear of invasion of the national territory by hordes of Polish plumbers was felt both on the Left and on the Right.	"""the act of invading; the act of an army that invades for conquest or plunder"""				2022-06-08T13:05:07.007	2022-06-08T13:06:12.101
131	"""the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited"",""one of a number of things from which only one can be chosen"",""the act of choosing or selecting"""	option	If parents are dissatisfied with a school, they should have the option of switching to another.	"""the act of choosing or selecting"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
317	"""(plural) any group of human beings (men or women or children) collectively"",""the body of citizens of a state or country"",""members of a family line"",""the common people generally"",""fill with people"",""furnish with people"""	people	You did not note that the homeless people we examined had a multitude of physical disorders in addition to their psychiatric problems and substance abuse.	"""(plural) any group of human beings (men or women or children) collectively"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
137	"""in an aggressive manner"",""in a well delineated manner"",""changing suddenly in direction and degree"",""very suddenly and to a great degree"""	sharply	There is neither mystery nor paradox in the fact that as educational expenditures( in real terms) have increased sharply in the past quarter-of-a-century-- we now spend more per pupil than any other country in the world-- educational performance has declined.	"""in a well delineated manner"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
242	"""a human being"",""a single organism"",""being or characteristic of a single thing or person"",""separate and distinct from others of the same kind"",""characteristic of or meant for a single person or thing"",""concerning one person exclusively"""	individual	The individual voter 's standing consequently will be enhanced through lower taxes.	"""a human being"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
228	"""a politically organized body of people under a single government"",""the people who live in a nation or country"",""United States prohibitionist who raided saloons and destroyed bottles of liquor with a hatchet (1846-1911)"",""a federation of tribes (especially Native American tribes)"""	nation	In only one presidential election year prior to 1948 did more than 20 % of the nation 's congressional districts choose a different party 's candidate for the White House than for the House of Representatives.	"""the people who live in a nation or country"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
37	"""lacking a visible order or organization"",""completely unordered and unpredictable and confusing"",""of or relating to a sensitive dependence on initial conditions"""	chaotic	Medical scientists are starting to uncover a handful of genes which, if damaged, unleash the chaotic growth of cells that characterizes cancer.	"""completely unordered and unpredictable and confusing"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
253	"""a vaguely specified concern"",""some situation or event that is thought about"",""that which has mass and occupies space"",""a problem"",""(used with negation) having consequence"",""written works (especially in books or magazines)"",""have weight; have import\, carry weight"""	matters	Since local benefit-seeking matters more and national policy making matters less in the lower chamber of Congress, this is precisely the pattern one would expect if Republicans are less willing to engage in local benefit-seeking than their Democratic counterparts.	"""have weight; have import, carry weight"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
123	"""the property resulting from being or relating to the greater in number of two parts; the main part"",""(elections) more than half of the votes"",""the age at which persons are considered competent to manage their own affairs"""	majority	Conversely, there are the majority of unsuccessful schools, and we know which efforts at educational reform are doomed beforehand.	"""the property resulting from being or relating to the greater in number of two parts; the main part"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
78	"""act of improving by expanding or enlarging or refining"",""a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)"",""(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level"",""a recent event that has some relevance for the present situation"",""the act of making some area of land or water more profitable or productive or useful"",""a district that has been developed to serve some purpose"",""a state in which things are improving; the result of developing (as in the early part of a game of chess)"",""processing a photosensitive material in order to make an image visible"",""(music) the section of a composition or movement (especially in sonata form) where the major musical themes are developed and elaborated"""	development	`` It was the confirming evidence we all needed that gene losses were critical to the development of a common tumor,`` says Ray White at Howard Hughes Medical Institute in Salt Lake City.	"""(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
319	"""form the substance of"",""write music"",""produce a literary work"",""put together out of existing material"",""calm (someone\, especially oneself); make quiet"",""make up plans or basic details for"""	composed	In a recent report, the Institute of Medicine pointed out that certain health problems may predispose a person to homelessness, others may be a consequence of it, and a third category is composed of disorders whose treatment is difficult or impossible if a person lacks adequate shelter.	"""put together out of existing material"""				2022-06-08T13:30:15.108	2022-06-08T13:35:09.347
440	"""earnest or urgent request"",""attractiveness that interests or pleases or stimulates"",""(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial"",""request for a sum of money"",""take a court case to a higher court for review"",""request earnestly (something from somebody); ask for aid or protection"",""be attractive to"",""challenge (a decision)"",""cite as an authority; resort to"""	appeals	But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years.	"""(law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
65	"""a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena"",""a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"",""a belief that can guide behavior"""	theory	But there was no way to prove Dr. Knudson 's`` two-hit`` theory.	"""a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
576	"""directions prescribed beforehand; the action of prescribing authoritative rules or directions"",""a drug that is available only with written instructions from a doctor or dentist to a pharmacist"",""written instructions for an optician on the lenses for a given person"",""written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient"",""available only with a doctor's written prescription"""	prescription	The medicine can only be obtained with a prescription.	"""a drug that is available only with written instructions from a doctor or dentist to a pharmacist"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
642	"""a native or inhabitant of Europe"",""of or relating to or characteristic of Europe or the people of Europe"""	European	This document is a summary of the European Public Assessment Report.	"""of or relating to or characteristic of Europe or the people of Europe"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
518	"""something that happens at a given place and time"",""a special set of circumstances"",""a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory"",""a phenomenon that follows and is caused by some previous phenomenon"""	events	It 's nothing new: The two justices have been attending Federalist Society events for years.	"""a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
319	"""form the substance of"",""write music"",""produce a literary work"",""put together out of existing material"",""calm (someone\, especially oneself); make quiet"",""make up plans or basic details for"""	composed	In a recent report, the Institute of Medicine pointed out that certain health problems may predispose a person to homelessness, others may be a consequence of it, and a third category is composed of disorders whose treatment is difficult or impossible if a person lacks adequate shelter.	"""form the substance of"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
559	"""money extracted as a penalty"",""issue a ticket or a fine to as a penalty"",""being satisfactory or in satisfactory condition"",""minutely precise especially in differences in meaning"",""thin in thickness or diameter"",""characterized by elegance or refinement or accomplishment"",""of textures that are smooth to the touch or substances consisting of relatively small particles"",""free from impurities; having a high or specified degree of purity"",""an expression of agreement normally occurring at the beginning of a sentence"",""in a delicate manner"""	fine	Fresh trouble is following hard on the heels of the uproar around Josef Ackermann, CEO of Deutsche Bank: Deutsche Bank faces a multi-million pound fine in the USA.	"""money extracted as a penalty"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
524	"""a demanding or stimulating situation"",""a call to engage in a contest or fight"",""questioning a statement and demanding an explanation"",""a formal objection to the selection of a particular person as a juror"",""a demand by a sentry for a password or identification"",""take exception to"",""issue a challenge to"",""ask for identification"",""raise a formal objection in a court of law"""	challenges	Kagan served as solicitor general in the Obama administration when the first legal challenges to the law were brought at the trial court level.	"""a formal objection to the selection of a particular person as a juror"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
8	"""the products of human creativity; works of art collectively"",""the creation of beautiful or significant things"",""a superior skill that you can learn by study and practice and observation"",""photographs or other visual representations in a printed publication"""	art	It is easy to see why the ancient art is on the ropes.	"""the products of human creativity; works of art collectively"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
498	"""the quality or attribute of being firm and steadfast"",""a stable order (especially of society)"",""the quality of being enduring and free from change or variation"""	stability	The second is the increasing stability of attitudes towards democracy and its core institutions.	"""the quality or attribute of being firm and steadfast"""				2022-06-08T13:30:17.928	2022-06-08T13:34:37.573
377	"""move downward and lower\, but not necessarily all the way"",""come from; be connected by a relationship of blood\, for example"",""do something that one considers to be below one's dignity"",""come as if by falling"""	descending	Only when one is ascending-- or in our case descending a tad trop rapidement-- does one feel, well, airborne in a picnic basket.	"""come as if by falling"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
119	"""the difference between the market value of a property and the claims held against it"",""the ownership interest of shareholders in a corporation"",""conformity with rules or standards"""	equity	Whether they are or are not underpaid is a problem of equity; it is not an educational problem.	"""the difference between the market value of a property and the claims held against it"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
456	"""the act of forcing out someone or something"",""squeezing out by applying pressure"",""the act of expelling or projecting or ejecting"""	expulsion	The expulsion presumably forged by two players of Real Madrid( Xabi Alonso and Sergio Ramos) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if, both players should be sanctioned by UEFA.	"""the act of expelling or projecting or ejecting"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
1	"""a person whose occupation is making and altering garments"",""adjust to a specific need or market"",""style and tailor in a certain fashion"",""create (clothes) with cloth"""	Tailors	Dorothy L. Sayers,`` The Nine Tailors``	"""a person whose occupation is making and altering garments"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
317	"""(plural) any group of human beings (men or women or children) collectively"",""the body of citizens of a state or country"",""members of a family line"",""the common people generally"",""fill with people"",""furnish with people"""	people	You did not note that the homeless people we examined had a multitude of physical disorders in addition to their psychiatric problems and substance abuse.	"""(plural) any group of human beings (men or women or children) collectively"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
437	"""the act of investing; laying out money or capital in an enterprise with the expectation of profit"",""money that is invested with an expectation of profit"",""the commitment of something other than money (time\, energy\, or effort) to a project with the expectation of some worthwhile result"",""outer layer or covering of an organ or part or organism"",""the act of putting on robes or vestments"",""the ceremonial act of clothing someone in the insignia of an office; the formal promotion of a person to an office or rank"""	investment	The bank overstretched at the height of the financial crisis by taking over the investment bank Merrill Lynch.	"""the act of investing; laying out money or capital in an enterprise with the expectation of profit"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
576	"""directions prescribed beforehand; the action of prescribing authoritative rules or directions"",""a drug that is available only with written instructions from a doctor or dentist to a pharmacist"",""written instructions for an optician on the lenses for a given person"",""written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient"",""available only with a doctor's written prescription"""	prescription	The medicine can only be obtained with a prescription.	"""written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
562	"""the state of being free from danger or injury"",""defense against financial failure; financial independence"",""freedom from anxiety or fear"",""a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"",""property that your creditor can claim in case you default on your obligation"",""a department responsible for the security of the institution's property and workers"",""a guarantee that an obligation will be met"",""an electrical device that sets off an alarm when someone tries to break in"",""measures taken as a precaution against theft or espionage or sabotage etc."""	securities	The value of the securities dropped dramatically during the financial crisis and brought down the credit unions.	"""a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
559	"""money extracted as a penalty"",""issue a ticket or a fine to as a penalty"",""being satisfactory or in satisfactory condition"",""minutely precise especially in differences in meaning"",""thin in thickness or diameter"",""characterized by elegance or refinement or accomplishment"",""of textures that are smooth to the touch or substances consisting of relatively small particles"",""free from impurities; having a high or specified degree of purity"",""an expression of agreement normally occurring at the beginning of a sentence"",""in a delicate manner"""	fine	Fresh trouble is following hard on the heels of the uproar around Josef Ackermann, CEO of Deutsche Bank: Deutsche Bank faces a multi-million pound fine in the USA.	"""money extracted as a penalty"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
637	"""an enlisted man of the lowest rank in the Army or Marines"",""confined to particular persons or groups or providing privacy"",""concerning things deeply private and personal"",""concerning one person exclusively"",""not expressed"""	private	Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers.	"""confined to particular persons or groups or providing privacy"""				2022-06-08T13:30:18.664	2022-06-08T13:34:17.387
315	"""know and comprehend the nature or meaning of"",""perceive (an idea or situation) mentally"",""make sense of a language"",""believe to be the case"",""be understanding of"""	understood	The`` causes`` of homelessness are poorly understood and complex in any individual case.	"""perceive (an idea or situation) mentally"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
198	"""(sometimes followed by `of') having or showing knowledge or understanding or realization or perception"",""bearing in mind; attentive to"""	aware	Toward the end of his fourth hairy highball, while he was moodily making wet rings on the table-top with the bottom of the glass, he became aware that he was not alone.	"""bearing in mind; attentive to"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
447	"""the total amount and type of insurance carried"",""the extent to which something is covered"",""the news as presented by reporters for newspapers or radio or television"""	coverage	But their arguments about the effect of the intense coverage of the trial may draw the most interest.	"""the news as presented by reporters for newspapers or radio or television"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
69	"""the state of being present; current existence"",""the immediate proximity of someone or something"",""an invisible spiritual being felt to be nearby"",""the impression that something is present"",""dignified manner or conduct"",""the act of being present"""	presence	The team used a battery of the newly developed`` gene probes,`` snippets of genetic material that can track a gene 's presence in a cell.	"""the act of being present"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
640	"""unfair treatment of a person or group on the basis of prejudice"",""the cognitive process whereby two or more stimuli are distinguished"""	discrimination	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.	"""unfair treatment of a person or group on the basis of prejudice"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
173	"""everything that is included in a collection and that is held or included in something"",""what a communication that is about something is about"",""the proportion of a substance that is contained in a mixture or alloy etc."",""the amount that can be contained"",""the sum or range of what has been perceived\, discovered\, or learned"",""the state of being contented with your situation in life"",""something (a person or object or scene) selected by an artist or photographer for graphic representation"",""satisfy in a limited way"",""make content"",""satisfied or showing satisfaction with things as they are"""	contented	When he looked up again, he seemed almost contented.	"""satisfied or showing satisfaction with things as they are"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
583	"""a person who requires medical care"",""the semantic role of an entity that is not the agent but is directly involved in or affected by the happening denoted by the verb in the clause"",""enduring trying circumstances with even temper or characterized by such endurance"""	patients	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel( another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	"""a person who requires medical care"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
44	"""at or near the beginning of a period of time or course of events or before the usual or expected time"",""being or occurring at an early stage of development"",""belonging to the distant past"",""very young"",""of an early stage in the development of a language or literature"",""expected in the near future"",""during an early stage"",""before the usual time or the time expected"",""in good time"""	early	The newly identified genes differ from a family of genes discovered in the early 1980s called oncogenes.	"""at or near the beginning of a period of time or course of events or before the usual or expected time"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
317	"""(plural) any group of human beings (men or women or children) collectively"",""the body of citizens of a state or country"",""members of a family line"",""the common people generally"",""fill with people"",""furnish with people"""	people	You did not note that the homeless people we examined had a multitude of physical disorders in addition to their psychiatric problems and substance abuse.	"""(plural) any group of human beings (men or women or children) collectively"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
464	"""the occurrence of a change for the worse"",""loss of military equipment"",""the act of damaging something or someone"",""the amount of money needed to purchase something"",""any harm or injury resulting from a violation of a legal right"",""inflict damage upon"",""suffer or be susceptible to damage"""	damage	The matter examines the type of damage that is brought to the sporting spirit.	"""the act of damaging something or someone"""				2022-06-08T13:31:29.550	2022-06-08T13:33:27.552
593	"""a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air"",""a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened"",""a transparent panel (as of an envelope) inserted in an otherwise opaque material"",""an opening that resembles a window in appearance or function"",""the time period that is considered best for starting or finishing something"",""a pane of glass in a window"",""an opening in a wall or screen that admits light and air and through which customers can be served"",""(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen"""	window	Here 's a screenshot of kalgebra main window	"""(computer science) a rectangular part of a computer screen that contains a display different from the rest of the screen"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
154	"""an event that occurs at a critical time"",""a vaguely specified social event"",""reason"",""the time of a particular event"",""an opportunity to do something"",""give occasion to"""	occasion	It was blurred, after two hours of steady drinking, but the occasion of it came back to him.	"""reason"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
501	"""everything that exists anywhere"",""people in general; especially a distinctive group of people with some shared interest"",""all of your experiences that determine how things appear to you"",""the 3rd planet from the sun; the planet we live on"",""people in general considered as a whole"",""a part of the earth that can be considered separately"",""the concerns of this life as distinguished from heaven and the afterlife"",""all of the living human inhabitants of the earth"",""involving the entire earth; not limited or provincial in scope"""	world	That it has held up during the world financial crisis is probably because many Latin American countries suffered only a brief recession and have enjoyed a strong recovery.	"""involving the entire earth; not limited or provincial in scope"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
274	"""money extracted as a penalty"",""issue a ticket or a fine to as a penalty"",""being satisfactory or in satisfactory condition"",""minutely precise especially in differences in meaning"",""thin in thickness or diameter"",""characterized by elegance or refinement or accomplishment"",""of textures that are smooth to the touch or substances consisting of relatively small particles"",""free from impurities; having a high or specified degree of purity"",""an expression of agreement normally occurring at the beginning of a sentence"",""in a delicate manner"""	fine	My younger daughter and I are fine.	"""being satisfactory or in satisfactory condition"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
164	"""an acknowledgment of appreciation"",""with the help of or owing to"",""express gratitude or show appreciation to"""	Thanks	Thanks anyhow``	"""express gratitude or show appreciation to"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
106	"""a hostile meeting of opposing military forces in the course of a war"",""the act of fighting; any contest or struggle"",""an aggressive willingness to compete"",""an intense verbal dispute"",""a boxing or wrestling match"",""be engaged in a fight; carry on a fight"",""fight against or resist strongly"",""make a strenuous or labored effort"",""exert oneself continuously\, vigorously\, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for"""	fight	The education establishment will fight against common sense every inch of the way.	"""make a strenuous or labored effort"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
113	"""the profession of a teacher"",""a doctrine that is taught"",""the activities of educating or instructing; activities that impart knowledge or skill"",""impart skills or knowledge to"",""accustom gradually to some action or attitude"""	teaching	I know many schoolteachers and, on the whole, they are seriously committed to conscientious teaching.	"""impart skills or knowledge to"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
69	"""the state of being present; current existence"",""the immediate proximity of someone or something"",""an invisible spiritual being felt to be nearby"",""the impression that something is present"",""dignified manner or conduct"",""the act of being present"""	presence	The team used a battery of the newly developed`` gene probes,`` snippets of genetic material that can track a gene 's presence in a cell.	"""the immediate proximity of someone or something"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
452	"""the entering of a legal document into the public record"",""a fragment rubbed off by the use of a file"",""the act of using a file (as in shaping or smoothing an object)"",""preservation and methodical arrangement as of documents and papers etc."",""record in a public office or in a court of law"",""smooth with a file"",""proceed in line"",""file a formal charge against"",""place in a container for keeping records"""	filing	In their filing, they referred to the Supreme Court 's 1966 decision overturning Dr. Sheppard 's conviction because of the trial coverage and made it clear they would claim that the new media required new rules.	"""record in a public office or in a court of law"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
70	"""consider in detail and subject to an analysis in order to discover essential features or meaning"",""make a mathematical\, chemical\, or grammatical analysis of; break down into components or essential features"",""break down into components or essential features"",""subject to psychoanalytic treatment"""	analyzing	By analyzing cells extracted from eye tumors, they found defects in the second copy of chromosome 13 in the exact area as in the first copy of the chromosome.	"""consider in detail and subject to an analysis in order to discover essential features or meaning"""				2022-06-08T13:31:36.150	2022-06-08T13:38:43.819
274	"""money extracted as a penalty"",""issue a ticket or a fine to as a penalty"",""being satisfactory or in satisfactory condition"",""minutely precise especially in differences in meaning"",""thin in thickness or diameter"",""characterized by elegance or refinement or accomplishment"",""of textures that are smooth to the touch or substances consisting of relatively small particles"",""free from impurities; having a high or specified degree of purity"",""an expression of agreement normally occurring at the beginning of a sentence"",""in a delicate manner"""	fine	My younger daughter and I are fine.	"""in a delicate manner"""				2022-06-08T13:31:39.799	2022-06-08T13:35:45.365
237	"""public transport consisting of a bus or train that stops at all stations or stops"",""anesthetic that numbs a particular area of the body"",""relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area"",""of or belonging to or characteristic of a particular locality or neighborhood"",""affecting only a restricted part or area of the body"""	local	2-RRB- Congressional representatives have two basic responsibilities while voting in office-- dealing with national issues-LRB- programmatic actions such as casting roll call votes on legislation that imposes costs and/or confers benefits on the population at large-RRB- and attending to local issues-LRB- constituency service and pork barrel-RRB-.	"""relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area"""				2022-06-08T13:31:39.799	2022-06-08T13:35:45.365
180	"""give a certain impression or have a certain outward aspect"",""seem to be true\, probable\, or apparent"",""appear to exist"",""appear to one's own mind or opinion"""	seemed	Phil decided to stay a little longer, and as time passed it seemed as if the strange little man had never been there, but for the other glass on the table.	"""give a certain impression or have a certain outward aspect"""				2022-06-08T13:31:39.799	2022-06-08T13:35:45.365
